ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber:1|PlanID:1|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id:1
S5601|801|3090|04019|AZ|Pima|271|2850106|S5601 - 801|S5601|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group (PDP)|CVS Health Corporation|01/01/2006|7251|S5601 - 801
H5521|329|3090|04019|AZ|Pima|253|1865587|H5521 - 329|H5521|329|Local CCP|Local PPO|No|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Eagle Plan (PPO)|CVS Health Corporation|01/01/2006|4909|H5521 - 329
S5660|802|3090|04019|AZ|Pima|252|2958617|S5660 - 802|S5660|802|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7384|S5660 - 802
H4036|802|3090|04019|AZ|Pima|207|1512890|H4036 - 802|H4036|802|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|01/01/2008|3497|H4036 - 802
S5715|819|3090|04019|AZ|Pima|206|3006054|S5715 - 819|S5715|819|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|HCSC INSURANCE SERVICES COMPANY|Blue Cross and Blue Shield of IL, NM, OK, TX|Blue Cross Group MedicareRx Plan (PDP)|Health Care Service Corporation|01/01/2006|7410|S5715 - 819
S9701|801|3090|04019|AZ|Pima|196|3531139|S9701 - 801|S9701|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|DEAN HEALTH INSURANCE, INC.|Navitus MedicareRx|Navitus MedicareRx (PDP)|Medica Holding Company|01/01/2015|7952|S9701 - 801
S5601|807|3090|04019|AZ|Pima|159|2869224|S5601 - 807|S5601|807|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7257|S5601 - 807
S5820|803|3090|04019|AZ|Pima|153|3163338|S5820 - 803|S5820|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INSURANCE COMPANY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7504|S5820 - 803
H5521|184|3090|04019|AZ|Pima|140|1860327|H5521 - 184|H5521|184|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Platinum Plan (PPO)|CVS Health Corporation|01/01/2006|4808|H5521 - 184
S5975|801|3090|04019|AZ|Pima|137|3366693|S5975 - 801|S5975|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MODA HEALTH PLAN, INC.|Moda Health Plan, Inc.|Moda Health Rx (PDP)|Moda Partners, Inc.|01/01/2006|7728|S5975 - 801
H4036|801|3090|04019|AZ|Pima|122|1509630|H4036 - 801|H4036|801|Local CCP|Local PPO|Yes|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|01/01/2008|3496|H4036 - 801
H3931|129|3090|04019|AZ|Pima|114|1394128|H3931 - 129|H3931|129|Local CCP|HMO/HMOPOS|Yes|No|No|AETNA HEALTH INC. (PA)|Aetna Medicare|Aetna Medicare Platinum Plan (HMO-POS)|CVS Health Corporation|11/01/1985|3303|H3931 - 129
S5966|803|3090|04019|AZ|Pima|105|3360329|S5966 - 803|S5966|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|EMBLEMHEALTH PLAN, INC|EmblemHealth Medicare PDP|EmblemHealth National Drug Plan (PDP)|EmblemHealth, Inc.|01/01/2006|7726|S5966 - 803
S5820|833|3090|04019|AZ|Pima|82|3246939|S5820 - 833|S5820|833|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INSURANCE COMPANY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7531|S5820 - 833
H2001|838|3090|04019|AZ|Pima|76|559070|H2001 - 838|H2001|838|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1652|H2001 - 838
H2001|853|3090|04019|AZ|Pima|74|607955|H2001 - 853|H2001|853|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1667|H2001 - 853
H5216|137|3090|04019|AZ|Pima|74|1768823|H5216 - 137|H5216|137|Local CCP|Local PPO|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|HumanaChoice H5216-137 (PPO)|Humana Inc.|07/01/2005|4217|H5216 - 137
S5743|802|3090|04019|AZ|Pima|70|3029762|S5743 - 802|S5743|802|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY|MedicareBlue Rx|Group MedicareBlue Rx (PDP)|BCBS MN, MT, NE, ND, WY, Wellmark IA and SD|01/01/2006|7421|S5743 - 802
S5601|815|3090|04019|AZ|Pima|69|2894603|S5601 - 815|S5601|815|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7265|S5601 - 815
E3014|801|3090|04019|AZ|Pima|64|3351|E3014 - 801|E3014|801|Employer/Union Only Direct Contract PDP|Employer/Union Only Direct Contract PDP|Yes|No|Yes|PSERS HOP PROGRAM|Pennsylvania Public School Employees Retirement Sy|PSERS Health Options Program (Employer PDP)|Commonwealth of PA Pub Schools Retirement System|01/01/2007|3|E3014 - 801
H5521|812|3090|04019|AZ|Pima|61|1885737|H5521 - 812|H5521|812|Local CCP|Local PPO|Yes|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare $75 Buy-Down w/Rx Plan (PPO)|CVS Health Corporation|01/01/2006|4934|H5521 - 812
S5884|834|3090|04019|AZ|Pima|61|3300804|S5884 - 834|S5884|834|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PDP)|Humana Inc.|01/01/2006|7638|S5884 - 834
S5596|844|3090|04019|AZ|Pima|59|2801675|S5596 - 844|S5596|844|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem / Anthem or Blue KC in Missouri|Blue MedicareRx (PDP)|Anthem Inc.|01/01/2006|7147|S5596 - 844
S5601|813|3090|04019|AZ|Pima|56|2888272|S5601 - 813|S5601|813|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7263|S5601 - 813
S2893|801|3090|04019|AZ|Pima|55|2574946|S2893 - 801|S2893|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT|Blue MedicareRx|Blue MedicareRx (PDP)|Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT|01/01/2006|6951|S2893 - 801
H9572|801|3090|04019|AZ|Pima|48|2480130|H9572 - 801|H9572|801|Local CCP|Local PPO|Yes|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer Rx CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6680|H9572 - 801
H2001|857|3090|04019|AZ|Pima|47|620991|H2001 - 857|H2001|857|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1671|H2001 - 857
H3916|802|3090|04019|AZ|Pima|41|1312434|H3916 - 802|H3916|802|Local CCP|Local PPO|Yes|No|Yes|HIGHMARK SENIOR HEALTH COMPANY|Highmark Inc.|Freedom Blue PPO MAPD PA CALENDAR (PPO)|Highmark Health|05/01/2003|3233|H3916 - 802
S5660|803|3090|04019|AZ|Pima|39|2961785|S5660 - 803|S5660|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7385|S5660 - 803
H5216|265|3090|04019|AZ|Pima|37|1778313|H5216 - 265|H5216|265|Local CCP|Local PPO|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|HumanaChoice H5216-265 (PPO)|Humana Inc.|07/01/2005|4320|H5216 - 265
H2001|862|3090|04019|AZ|Pima|36|637287|H2001 - 862|H2001|862|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1676|H2001 - 862
S1822|801|3090|04019|AZ|Pima|36|2554751|S1822 - 801|S1822|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|HEALTHPARTNERS, INC.|HealthPartners|HealthPartners Group PDP CY (PDP)|HealthPartners, Inc.|01/01/2009|6936|S1822 - 801
S5884|114|3090|04019|AZ|Pima|34|3271489|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
S5921|802|3090|04019|AZ|Pima|33|3337796|S5921 - 802|S5921|802|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7716|S5921 - 802
H2001|836|3090|04019|AZ|Pima|30|552549|H2001 - 836|H2001|836|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1650|H2001 - 836
S5601|816|3090|04019|AZ|Pima|30|2897771|S5601 - 816|S5601|816|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Rx offered by SilverScript - FI (PDP)|CVS Health Corporation|01/01/2006|7266|S5601 - 816
H2001|819|3090|04019|AZ|Pima|29|504911|H2001 - 819|H2001|819|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1633|H2001 - 819
S9701|808|3090|04019|AZ|Pima|29|3546936|S9701 - 808|S9701|808|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|DEAN HEALTH INSURANCE, INC.|Navitus MedicareRx|Navitus MedicareRx (PDP)|Medica Holding Company|01/01/2015|7957|S9701 - 808
H0609|807|3090|04019|AZ|Pima|27|101321|H0609 - 807|H0609|807|Local CCP|HMO/HMOPOS|No|No|Yes|UnitedHealthcare Benefits of Texas, Inc.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (HMO)|UnitedHealth Group, Inc.|07/01/1986|545|H0609 - 807
H2001|840|3090|04019|AZ|Pima|27|565588|H2001 - 840|H2001|840|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1654|H2001 - 840
E0654|801|3090|04019|AZ|Pima|25|107|E0654 - 801|E0654|801|Employer/Union Only Direct Contract PDP|Employer/Union Only Direct Contract PDP|Yes|No|Yes|IBT VOLUNTARY EMPLOYEE BENEFITS TRUST|TEAMStar Medicare Part D Prescription Drug Program|IBT Voluntary Employee Benefits Trust (Employer PDP)|IBT Voluntary Employee Benefits Trust|01/01/2007|2|E0654 - 801
S5820|807|3090|04019|AZ|Pima|25|3169534|S5820 - 807|S5820|807|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INSURANCE COMPANY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7506|S5820 - 807
H6898|803|3090|04019|AZ|Pima|21|2132665|H6898 - 803|H6898|803|Local CCP|Local PPO|Yes|No|Yes|VERMONT BLUE ADVANTAGE, INC.|Vermont Blue Advantage|Vermont Blue Advantage Group PPO (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2021|5695|H6898 - 803
S5601|809|3090|04019|AZ|Pima|20|2875547|S5601 - 809|S5601|809|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7259|S5601 - 809
H3817|802|3090|04019|AZ|Pima|19|1267305|H3817 - 802|H3817|802|Local CCP|Local PPO|Yes|No|Yes|REGENCE BLUECROSS BLUESHIELD OF OREGON|Regence BlueCross BlueShield of Oregon|Regence MedAdvantage + Rx (PPO)|Cambia Health Solutions, Inc.|07/01/2005|3132|H3817 - 802
S4802|158|3090|04019|AZ|Pima|19|2730793|S4802 - 158|S4802|158|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7058|S4802 - 158
S5596|845|3090|04019|AZ|Pima|19|2804833|S5596 - 845|S5596|845|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem / Anthem or Blue KC in Missouri|Blue MedicareRx (PDP)|Anthem Inc.|01/01/2006|7148|S5596 - 845
H2001|858|3090|04019|AZ|Pima|18|624251|H2001 - 858|H2001|858|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1672|H2001 - 858
H5521|805|3090|04019|AZ|Pima|18|1872764|H5521 - 805|H5521|805|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Part B Only Plan (PPO)|CVS Health Corporation|01/01/2006|4930|H5521 - 805
S3521|801|3090|04019|AZ|Pima|18|2609939|S3521 - 801|S3521|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|EXCELLUS HEALTH PLAN, INC.|Excellus Health Plan, Inc|Simply Prescriptions- Employer Group (PDP)|Lifetime Healthcare, Inc.|01/01/2006|6967|S3521 - 801
S5617|805|3090|04019|AZ|Pima|18|2949032|S5617 - 805|S5617|805|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Rx Medicare (PDP)|CIGNA|01/01/2006|7381|S5617 - 805
S7694|801|3090|04019|AZ|Pima|18|3435680|S7694 - 801|S7694|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|ELIXIR INSURANCE COMPANY|Elixir Insurance|Employer Plan Calendar Year (PDP)|Rite Aid Corporation|01/01/2007|7916|S7694 - 801
S5601|820|3090|04019|AZ|Pima|17|2904119|S5601 - 820|S5601|820|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Rx offered by SilverScript - DC (PDP)|CVS Health Corporation|01/01/2006|7268|S5601 - 820
H5216|806|3090|04019|AZ|Pima|16|1784752|H5216 - 806|H5216|806|Local CCP|Local PPO|No|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4357|H5216 - 806
S5617|801|3090|04019|AZ|Pima|16|2942707|S5617 - 801|S5617|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Rx Medicare (PDP)|CIGNA|01/01/2006|7379|S5617 - 801
