ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber:1|PlanID:1|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id:1
S5921|403|45940|48453|TX|Travis|2099|3336057|S5921 - 403|S5921|403|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7703|S5921 - 403
S4802|225|45940|48453|TX|Travis|1403|2738514|S4802 - 225|S4802|225|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Medicare Rx Value Plus (PDP)|Centene Corporation|01/01/2006|7087|S4802 - 225
S5921|367|45940|48453|TX|Travis|1269|3327448|S5921 - 367|S5921|367|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Saver Plus (PDP)|UnitedHealth Group, Inc.|01/01/2006|7667|S5921 - 367
H5521|801|45940|48453|TX|Travis|773|1868890|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5617|267|45940|48453|TX|Travis|636|2934571|S5617 - 267|S5617|267|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Extra Rx (PDP)|CIGNA|01/01/2006|7329|S5617 - 267
H5216|805|45940|48453|TX|Travis|628|1784214|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
H5216|128|45940|48453|TX|Travis|597|1768470|H5216 - 128|H5216|128|Local CCP|Local PPO|No|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Honor (PPO)|Humana Inc.|07/01/2005|4211|H5216 - 128
H2001|816|45940|48453|TX|Travis|520|497767|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
H5521|802|45940|48453|TX|Travis|512|1872163|H5521 - 802|H5521|802|Local CCP|Local PPO|Yes|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan w/Rx (PPO)|CVS Health Corporation|01/01/2006|4929|H5521 - 802
S5617|301|45940|48453|TX|Travis|338|2941050|S5617 - 301|S5617|301|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Essential Rx (PDP)|CIGNA|01/01/2006|7363|S5617 - 301
H2001|837|45940|48453|TX|Travis|301|558453|H2001 - 837|H2001|837|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1651|H2001 - 837
S5601|805|45940|48453|TX|Travis|299|2865451|S5601 - 805|S5601|805|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7255|S5601 - 805
S8841|803|45940|48453|TX|Travis|299|3492675|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S5601|801|45940|48453|TX|Travis|278|2852751|S5601 - 801|S5601|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group (PDP)|CVS Health Corporation|01/01/2006|7251|S5601 - 801
H2001|847|45940|48453|TX|Travis|132|591045|H2001 - 847|H2001|847|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1661|H2001 - 847
S5660|802|45940|48453|TX|Travis|130|2961262|S5660 - 802|S5660|802|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7384|S5660 - 802
S5601|811|45940|48453|TX|Travis|114|2884549|S5601 - 811|S5601|811|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group - State of NY (PDP)|CVS Health Corporation|01/01/2006|7261|S5601 - 811
H9572|802|45940|48453|TX|Travis|85|2486023|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
S5660|806|45940|48453|TX|Travis|81|2970772|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
H4036|802|45940|48453|TX|Travis|68|1515534|H4036 - 802|H4036|802|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|01/01/2008|3497|H4036 - 802
S8841|810|45940|48453|TX|Travis|57|3505352|S8841 - 810|S8841|810|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|MPSERS 2022 (PDP)|UnitedHealth Group, Inc.|01/01/2007|7943|S8841 - 810
H2001|820|45940|48453|TX|Travis|55|510814|H2001 - 820|H2001|820|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1634|H2001 - 820
S7694|135|45940|48453|TX|Travis|54|3435268|S7694 - 135|S7694|135|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|ELIXIR INSURANCE COMPANY|Elixir Insurance|Elixir RxPlus (PDP)|Rite Aid Corporation|01/01/2007|7913|S7694 - 135
S5660|803|45940|48453|TX|Travis|48|2964430|S5660 - 803|S5660|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7385|S5660 - 803
H4036|801|45940|48453|TX|Travis|37|1512274|H4036 - 801|H4036|801|Local CCP|Local PPO|Yes|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|01/01/2008|3496|H4036 - 801
H5216|806|45940|48453|TX|Travis|36|1787335|H5216 - 806|H5216|806|Local CCP|Local PPO|No|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4357|H5216 - 806
S5820|803|45940|48453|TX|Travis|35|3165921|S5820 - 803|S5820|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INSURANCE COMPANY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7504|S5820 - 803
S5601|813|45940|48453|TX|Travis|33|2890917|S5601 - 813|S5601|813|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7263|S5601 - 813
S9701|801|45940|48453|TX|Travis|32|3533784|S9701 - 801|S9701|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|DEAN HEALTH INSURANCE, INC.|Navitus MedicareRx|Navitus MedicareRx (PDP)|Medica Holding Company|01/01/2015|7952|S9701 - 801
H5521|812|45940|48453|TX|Travis|31|1888381|H5521 - 812|H5521|812|Local CCP|Local PPO|Yes|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare $75 Buy-Down w/Rx Plan (PPO)|CVS Health Corporation|01/01/2006|4934|H5521 - 812
H2001|836|45940|48453|TX|Travis|28|555193|H2001 - 836|H2001|836|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1650|H2001 - 836
S5601|807|45940|48453|TX|Travis|28|2871869|S5601 - 807|S5601|807|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7257|S5601 - 807
H2001|838|45940|48453|TX|Travis|25|561714|H2001 - 838|H2001|838|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1652|H2001 - 838
S5715|819|45940|48453|TX|Travis|24|3008699|S5715 - 819|S5715|819|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|HCSC INSURANCE SERVICES COMPANY|Blue Cross and Blue Shield of IL, NM, OK, TX|Blue Cross Group MedicareRx Plan (PDP)|Health Care Service Corporation|01/01/2006|7410|S5715 - 819
S5966|803|45940|48453|TX|Travis|24|3362974|S5966 - 803|S5966|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|EMBLEMHEALTH PLAN, INC|EmblemHealth Medicare PDP|EmblemHealth National Drug Plan (PDP)|EmblemHealth, Inc.|01/01/2006|7726|S5966 - 803
H2001|857|45940|48453|TX|Travis|22|623635|H2001 - 857|H2001|857|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1671|H2001 - 857
S5884|114|45940|48453|TX|Travis|22|3272438|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
S5601|816|45940|48453|TX|Travis|21|2900416|S5601 - 816|S5601|816|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Rx offered by SilverScript - FI (PDP)|CVS Health Corporation|01/01/2006|7266|S5601 - 816
S5884|834|45940|48453|TX|Travis|17|3303402|S5884 - 834|S5884|834|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PDP)|Humana Inc.|01/01/2006|7638|S5884 - 834
E3014|801|45940|48453|TX|Travis|15|5995|E3014 - 801|E3014|801|Employer/Union Only Direct Contract PDP|Employer/Union Only Direct Contract PDP|Yes|No|Yes|PSERS HOP PROGRAM|Pennsylvania Public School Employees Retirement Sy|PSERS Health Options Program (Employer PDP)|Commonwealth of PA Pub Schools Retirement System|01/01/2007|3|E3014 - 801
H1666|801|45940|48453|TX|Travis|15|444154|H1666 - 801|H1666|801|Local CCP|Local PPO|Yes|No|Yes|HCSC INSURANCE SERVICES COMPANY|Blue Cross and Blue Shield of NM, TX|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2013|1466|H1666 - 801
S5975|801|45940|48453|TX|Travis|15|3369338|S5975 - 801|S5975|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MODA HEALTH PLAN, INC.|Moda Health Plan, Inc.|Moda Health Rx (PDP)|Moda Partners, Inc.|01/01/2006|7728|S5975 - 801
H0107|802|45940|48453|TX|Travis|14|48706|H0107 - 802|H0107|802|Local CCP|Local PPO|Yes|No|Yes|HEALTH CARE SERVICE CORPORATION|Blue Cross and Blue Shield of Montana|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2014|83|H0107 - 802
H3916|802|45940|48453|TX|Travis|13|1315078|H3916 - 802|H3916|802|Local CCP|Local PPO|Yes|No|Yes|HIGHMARK SENIOR HEALTH COMPANY|Highmark Inc.|Freedom Blue PPO MAPD PA CALENDAR (PPO)|Highmark Health|05/01/2003|3233|H3916 - 802
H2001|840|45940|48453|TX|Travis|12|568232|H2001 - 840|H2001|840|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1654|H2001 - 840
H7617|801|45940|48453|TX|Travis|11|2185624|H7617 - 801|H7617|801|Local CCP|Local PPO|Yes|No|Yes|EMPHESYS INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|01/01/2020|5921|H7617 - 801
S5601|820|45940|48453|TX|Travis|11|2906764|S5601 - 820|S5601|820|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Rx offered by SilverScript - DC (PDP)|CVS Health Corporation|01/01/2006|7268|S5601 - 820
E0654|801|45940|48453|TX|Travis|0|2751|E0654 - 801|E0654|801|Employer/Union Only Direct Contract PDP|Employer/Union Only Direct Contract PDP|Yes|No|Yes|IBT VOLUNTARY EMPLOYEE BENEFITS TRUST|TEAMStar Medicare Part D Prescription Drug Program|IBT Voluntary Employee Benefits Trust (Employer PDP)|IBT Voluntary Employee Benefits Trust|01/01/2007|2|E0654 - 801
E3014|802|45940|48453|TX|Travis|0|9238|E3014 - 802|E3014|802|Employer/Union Only Direct Contract PDP|Employer/Union Only Direct Contract PDP|Yes|No|Yes|PSERS HOP PROGRAM|Pennsylvania Public School Employees Retirement Sy|PSERS Health Options Program Value (Employer PDP)|Commonwealth of PA Pub Schools Retirement System|01/01/2007|4|E3014 - 802
E4744|801|45940|48453|TX|Travis|0|12481|E4744 - 801|E4744|801|Employer/Union Only Direct Contract PDP|Employer/Union Only Direct Contract PDP|Yes|No|Yes|MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN|MISSOURI DEPARTMENT OF TRANSPORTATION|Missouri Department of Transportatio/ Highway Patr (Employer PDP)|Missouri Highways and Transportation Commission|01/01/2007|5|E4744 - 801
H0028|801|45940|48453|TX|Travis|0|15665|H0028 - 801|H0028|801|Local CCP|HMO/HMOPOS|Yes|No|Yes|CHA HMO, INC.|Humana|Humana Medicare Employer (HMO)|Humana Inc.|01/01/2013|44|H0028 - 801
H0028|802|45940|48453|TX|Travis|0|15891|H0028 - 802|H0028|802|Local CCP|HMO/HMOPOS|No|No|Yes|CHA HMO, INC.|Humana|Humana Medicare Employer (HMO)|Humana Inc.|01/01/2013|45|H0028 - 802
H0028|804|45940|48453|TX|Travis|0|16117|H0028 - 804|H0028|804|Local CCP|HMO/HMOPOS|Yes|No|Yes|CHA HMO, INC.|Humana|Humana Medicare Employer (HMO)|Humana Inc.|01/01/2013|46|H0028 - 804
H0028|805|45940|48453|TX|Travis|0|16343|H0028 - 805|H0028|805|Local CCP|HMO/HMOPOS|No|No|Yes|CHA HMO, INC.|Humana|Humana Medicare Employer (HMO)|Humana Inc.|01/01/2013|47|H0028 - 805
H0062|801|45940|48453|TX|Travis|0|16640|H0062 - 801|H0062|801|Local CCP|HMO/HMOPOS|Yes|No|Yes|SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.|Wellcare by Allwell|Allwell Group (HMO)|Centene Corporation|01/01/2017|57|H0062 - 801
H0062|802|45940|48453|TX|Travis|0|16894|H0062 - 802|H0062|802|Local CCP|HMO/HMOPOS|No|No|Yes|SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.|Wellcare by Allwell|Allwell Group (HMO)|Centene Corporation|01/01/2017|58|H0062 - 802
H0062|803|45940|48453|TX|Travis|0|17148|H0062 - 803|H0062|803|Local CCP|HMO/HMOPOS|Yes|No|Yes|SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.|Wellcare by Allwell|Allwell Group (HMO)|Centene Corporation|01/01/2017|59|H0062 - 803
H0104|801|45940|48453|TX|Travis|0|20231|H0104 - 801|H0104|801|Local CCP|Local PPO|No|No|Yes|BLUE CROSS AND BLUE SHIELD OF ALABAMA|Blue Cross and Blue Shield of Alabama|Blue Advantage Employer Group Plan 801 (PPO)|BlueCross BlueShield of Alabama|07/01/2005|68|H0104 - 801
H0104|802|45940|48453|TX|Travis|0|23372|H0104 - 802|H0104|802|Local CCP|Local PPO|Yes|No|Yes|BLUE CROSS AND BLUE SHIELD OF ALABAMA|Blue Cross and Blue Shield of Alabama|Blue Advantage Employer Group Plan 802 (PPO)|BlueCross BlueShield of Alabama|07/01/2005|69|H0104 - 802
H0104|804|45940|48453|TX|Travis|0|26513|H0104 - 804|H0104|804|Local CCP|Local PPO|Yes|No|Yes|BLUE CROSS AND BLUE SHIELD OF ALABAMA|Blue Cross and Blue Shield of Alabama|Blue Advantage Employer Group Plan 804 (PPO)|BlueCross BlueShield of Alabama|07/01/2005|70|H0104 - 804
H0104|805|45940|48453|TX|Travis|0|29654|H0104 - 805|H0104|805|Local CCP|Local PPO|Yes|No|Yes|BLUE CROSS AND BLUE SHIELD OF ALABAMA|Blue Cross and Blue Shield of Alabama|Blue Advantage Employer Group Plan 805 (PPO)|BlueCross BlueShield of Alabama|07/01/2005|71|H0104 - 805
H0104|806|45940|48453|TX|Travis|0|32795|H0104 - 806|H0104|806|Local CCP|Local PPO|Yes|No|Yes|BLUE CROSS AND BLUE SHIELD OF ALABAMA|Blue Cross and Blue Shield of Alabama|Blue Advantage Employer Group Plan 806 (PPO)|BlueCross BlueShield of Alabama|07/01/2005|72|H0104 - 806
H0104|807|45940|48453|TX|Travis|0|35936|H0104 - 807|H0104|807|Local CCP|Local PPO|Yes|No|Yes|BLUE CROSS AND BLUE SHIELD OF ALABAMA|Blue Cross and Blue Shield of Alabama|Blue Advantage Employer Group Plan 807 (PPO)|BlueCross BlueShield of Alabama|07/01/2005|73|H0104 - 807
H0104|808|45940|48453|TX|Travis|0|39077|H0104 - 808|H0104|808|Local CCP|Local PPO|Yes|No|Yes|BLUE CROSS AND BLUE SHIELD OF ALABAMA|Blue Cross and Blue Shield of Alabama|Blue Advantage Employer Group Plan 808 (PPO)|BlueCross BlueShield of Alabama|07/01/2005|74|H0104 - 808
H0104|809|45940|48453|TX|Travis|0|42218|H0104 - 809|H0104|809|Local CCP|Local PPO|Yes|No|Yes|BLUE CROSS AND BLUE SHIELD OF ALABAMA|Blue Cross and Blue Shield of Alabama|Blue Advantage Employer Group Plan 809 (PPO)|BlueCross BlueShield of Alabama|07/01/2005|75|H0104 - 809
H0107|801|45940|48453|TX|Travis|0|45462|H0107 - 801|H0107|801|Local CCP|Local PPO|Yes|No|Yes|HEALTH CARE SERVICE CORPORATION|Blue Cross and Blue Shield of Montana|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2014|82|H0107 - 801
H0107|803|45940|48453|TX|Travis|0|51950|H0107 - 803|H0107|803|Local CCP|Local PPO|No|No|Yes|HEALTH CARE SERVICE CORPORATION|Blue Cross and Blue Shield of Montana|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2014|84|H0107 - 803
H0107|804|45940|48453|TX|Travis|0|55194|H0107 - 804|H0107|804|Local CCP|Local PPO|No|No|Yes|HEALTH CARE SERVICE CORPORATION|Blue Cross and Blue Shield of Montana|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2014|85|H0107 - 804
H0107|805|45940|48453|TX|Travis|0|58438|H0107 - 805|H0107|805|Local CCP|Local PPO|Yes|No|Yes|HEALTH CARE SERVICE CORPORATION|Blue Cross and Blue Shield of Montana|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2014|86|H0107 - 805
H0107|806|45940|48453|TX|Travis|0|61682|H0107 - 806|H0107|806|Local CCP|Local PPO|Yes|No|Yes|HEALTH CARE SERVICE CORPORATION|Blue Cross and Blue Shield of Montana|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2014|87|H0107 - 806
H0107|807|45940|48453|TX|Travis|0|64926|H0107 - 807|H0107|807|Local CCP|Local PPO|Yes|No|Yes|HEALTH CARE SERVICE CORPORATION|Blue Cross and Blue Shield of Montana|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2014|88|H0107 - 807
H0332|801|45940|48453|TX|Travis|0|70473|H0332 - 801|H0332|801|Local CCP|HMO/HMOPOS|No|No|Yes|KS PLAN ADMINISTRATORS, LLC|KelseyCare Advantage|KelseyCare Advantage Essential Retiree (HMO)|Kelsey-Seybold Medical Group, PLLC|01/01/2008|202|H0332 - 801
H0332|803|45940|48453|TX|Travis|0|70727|H0332 - 803|H0332|803|Local CCP|HMO/HMOPOS|Yes|No|Yes|KS PLAN ADMINISTRATORS, LLC|KelseyCare Advantage|KelseyCare Advantage Rx Retiree (HMO)|Kelsey-Seybold Medical Group, PLLC|01/01/2008|203|H0332 - 803
H0332|804|45940|48453|TX|Travis|0|70981|H0332 - 804|H0332|804|Local CCP|HMO/HMOPOS|No|No|Yes|KS PLAN ADMINISTRATORS, LLC|KelseyCare Advantage|KelseyCare Advantage Essential+Choice Retiree (HMO)|Kelsey-Seybold Medical Group, PLLC|01/01/2008|204|H0332 - 804
H0332|805|45940|48453|TX|Travis|0|71235|H0332 - 805|H0332|805|Local CCP|HMO/HMOPOS|Yes|No|Yes|KS PLAN ADMINISTRATORS, LLC|KelseyCare Advantage|KelseyCare Advantage Rx+Choice Retiree (HMO)|Kelsey-Seybold Medical Group, PLLC|01/01/2008|205|H0332 - 805
H0332|806|45940|48453|TX|Travis|0|71489|H0332 - 806|H0332|806|Local CCP|HMO/HMOPOS|No|No|Yes|KS PLAN ADMINISTRATORS, LLC|KelseyCare Advantage|KelseyCare Advantage Essential Retiree (HMO)|Kelsey-Seybold Medical Group, PLLC|01/01/2008|206|H0332 - 806
H0332|807|45940|48453|TX|Travis|0|71743|H0332 - 807|H0332|807|Local CCP|HMO/HMOPOS|Yes|No|Yes|KS PLAN ADMINISTRATORS, LLC|KelseyCare Advantage|KelseyCare Advantage Rx Retiree (HMO)|Kelsey-Seybold Medical Group, PLLC|01/01/2008|207|H0332 - 807
H0332|808|45940|48453|TX|Travis|0|71997|H0332 - 808|H0332|808|Local CCP|HMO/HMOPOS|No|No|Yes|KS PLAN ADMINISTRATORS, LLC|KelseyCare Advantage|KelseyCare Advantage Essential+Choice Retiree (HMO)|Kelsey-Seybold Medical Group, PLLC|01/01/2008|208|H0332 - 808
