ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber|PlanID|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id
H0524|806|5000|06001|CA|Alameda|28695|97887|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
H0543|168|5200|06037|CA|Los Angeles|28519|98544|H0543 - 168|H0543|168|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Focus (HMO)|UnitedHealth Group, Inc.|06/01/1985|374|H0543 - 168
S5601|807|12020|15003|HI|Honolulu|28387|2869666|S5601 - 807|S5601|807|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7257|S5601 - 807
S5601|203|3060|04013|AZ|Maricopa|26385|2848513|S5601 - 203|S5601|203|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7243|S5601 - 203
S4802|163|5200|06037|CA|Los Angeles|26361|2731947|S4802 - 163|S4802|163|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7063|S4802 - 163
H0524|805|5470|06073|CA|San Diego|26220|97664|H0524 - 805|H0524|805|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|335|H0524 - 805
S5660|806|23240|26049|MI|Genesee|25448|2969277|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
H0524|806|5060|06013|CA|Contra Costa|25320|97893|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
H4036|802|5200|06037|CA|Los Angeles|24846|1512989|H4036 - 802|H4036|802|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|01/01/2008|3497|H4036 - 802
H2001|817|45610|48201|TX|Harris|24833|500911|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
H2001|816|14141|17031|IL|Cook|24644|495628|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
S5601|805|5200|06037|CA|Los Angeles|24548|2862904|S5601 - 805|S5601|805|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7255|S5601 - 805
H9572|802|23490|26099|MI|Macomb|23480|2484554|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
S5617|224|14141|17031|IL|Cook|22722|2927745|S5617 - 224|S5617|224|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Secure Rx (PDP)|CIGNA|01/01/2006|7304|S5617 - 224
H0543|169|5400|06059|CA|Orange|22516|98567|H0543 - 169|H0543|169|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Focus (HMO)|UnitedHealth Group, Inc.|06/01/1985|375|H0543 - 169
H0524|805|5460|06071|CA|San Bernardino|22234|97663|H0524 - 805|H0524|805|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|335|H0524 - 805
S5921|362|14141|17031|IL|Cook|22059|3325299|S5921 - 362|S5921|362|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Saver Plus (PDP)|UnitedHealth Group, Inc.|01/01/2006|7662|S5921 - 362
H0524|805|5430|06065|CA|Riverside|21746|97661|H0524 - 805|H0524|805|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|335|H0524 - 805
S5660|806|23620|26125|MI|Oakland|20529|2969315|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
S8841|810|23620|26125|MI|Oakland|20485|3503895|S8841 - 810|S8841|810|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|MPSERS 2022 (PDP)|UnitedHealth Group, Inc.|01/01/2007|7943|S8841 - 810
S5921|376|5200|06037|CA|Los Angeles|20469|3329969|S5921 - 376|S5921|376|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Saver Plus (PDP)|UnitedHealth Group, Inc.|01/01/2006|7676|S5921 - 376
S5601|805|22090|25017|MA|Middlesex|20193|2863926|S5601 - 805|S5601|805|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7255|S5601 - 805
H2001|816|3060|04013|AZ|Maricopa|19861|495120|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
H0543|170|5430|06065|CA|Riverside|19499|98588|H0543 - 170|H0543|170|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Focus (HMO)|UnitedHealth Group, Inc.|06/01/1985|376|H0543 - 170
S5660|806|23490|26099|MI|Macomb|19111|2969302|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
H0524|805|5400|06059|CA|Orange|19098|97659|H0524 - 805|H0524|805|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|335|H0524 - 805
H9572|802|23240|26049|MI|Genesee|19042|2484529|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
S8841|803|31310|34029|NJ|Ocean|18893|3491713|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
H0543|204|5470|06073|CA|San Diego|18541|98747|H0543 - 204|H0543|204|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|Sharp Walgreens by UnitedHealthcare (HMO)|UnitedHealth Group, Inc.|06/01/1985|392|H0543 - 204
S5921|409|3060|04013|AZ|Maricopa|18492|3337181|S5921 - 409|S5921|409|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7709|S5921 - 409
H0543|145|5470|06073|CA|San Diego|18455|98424|H0543 - 145|H0543|145|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|Sharp SecureHorizons Plan by UnitedHealthcare (HMO)|UnitedHealth Group, Inc.|06/01/1985|362|H0543 - 145
S5884|107|14141|17031|IL|Cook|18248|3268381|S5884 - 107|S5884|107|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7545|S5884 - 107
S5601|207|5200|06037|CA|Los Angeles|18090|2849554|S5601 - 207|S5601|207|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7247|S5601 - 207
H1019|104|10520|12105|FL|Polk|17667|228152|H1019 - 104|H1019|104|Local CCP|HMO/HMOPOS|Yes|No|No|CAREPLUS HEALTH PLANS, INC.|CarePlus Health Plans, Inc.|CareFree (HMO)|Humana Inc.|02/01/1998|811|H1019 - 104
S5884|207|3060|04013|AZ|Maricopa|17660|3299525|S5884 - 207|S5884|207|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7631|S5884 - 207
H0543|170|5460|06071|CA|San Bernardino|17328|98589|H0543 - 170|H0543|170|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Focus (HMO)|UnitedHealth Group, Inc.|06/01/1985|376|H0543 - 170
H5216|805|34910|37183|NC|Wake|17106|1783446|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
H5521|801|31310|34029|NJ|Ocean|16802|1867929|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5660|801|14141|17031|IL|Cook|16801|2955908|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
H0524|806|5530|06085|CA|Santa Clara|16491|97928|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
S8841|810|23810|26163|MI|Wayne|16211|3503914|S8841 - 810|S8841|810|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|MPSERS 2022 (PDP)|UnitedHealth Group, Inc.|01/01/2007|7943|S8841 - 810
S5601|815|45610|48201|TX|Harris|16059|2897122|S5601 - 815|S5601|815|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7265|S5601 - 815
S5601|192|14141|17031|IL|Cook|15997|2844432|S5601 - 192|S5601|192|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7232|S5601 - 192
H2001|817|45940|48453|TX|Travis|15968|501037|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
S4802|155|45610|48201|TX|Harris|15894|2730155|S4802 - 155|S4802|155|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7055|S4802 - 155
S4802|146|10490|12099|FL|Palm Beach|15814|2726454|S4802 - 146|S4802|146|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7046|S4802 - 146
S5660|801|33700|36103|NY|Suffolk|15665|2957177|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
H1036|265|10510|12103|FL|Pinellas|15327|232123|H1036 - 265|H1036|265|Local CCP|HMO/HMOPOS|Yes|No|No|HUMANA MEDICAL PLAN, INC.|Humana|Humana Gold Plus H1036-265 (HMO)|Humana Inc.|02/01/1986|949|H1036 - 265
H0543|138|5400|06059|CA|Orange|15324|98371|H0543 - 138|H0543|138|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Plan 2 (HMO)|UnitedHealth Group, Inc.|06/01/1985|359|H0543 - 138
H1036|103|10050|12011|FL|Broward|14786|230609|H1036 - 103|H1036|103|Local CCP|HMO/HMOPOS|Yes|Yes|No|HUMANA MEDICAL PLAN, INC.|Humana|Humana Gold Plus SNP-DE H1036-103A (HMO D-SNP)|Humana Inc.|02/01/1986|910|H1036 - 103
S8841|803|5200|06037|CA|Los Angeles|14741|3490128|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S5884|114|5470|06073|CA|San Diego|14713|3271561|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
H5521|801|36170|39035|OH|Cuyahoga|14146|1868201|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S9701|801|52120|55025|WI|Dane|14012|3534097|S9701 - 801|S9701|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|DEAN HEALTH INSURANCE, INC.|Navitus MedicareRx|Navitus MedicareRx (PDP)|Medica Holding Company|01/01/2015|7952|S9701 - 801
S4802|163|5400|06059|CA|Orange|13979|2731958|S4802 - 163|S4802|163|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7063|S4802 - 163
S5921|398|14141|17031|IL|Cook|13964|3334267|S5921 - 398|S5921|398|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7698|S5921 - 398
S8841|803|31260|34021|NJ|Mercer|13833|3491709|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S8841|803|31290|34025|NJ|Monmouth|13734|3491711|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S8841|803|31150|34005|NJ|Burlington|13536|3491701|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S5884|114|5400|06059|CA|Orange|13429|3271554|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
H0524|806|5580|06095|CA|Solano|13305|97933|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
S5601|805|22040|25009|MA|Essex|12849|2863922|S5601 - 805|S5601|805|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7255|S5601 - 805
S5884|211|5200|06037|CA|Los Angeles|12795|3300364|S5884 - 211|S5884|211|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7635|S5884 - 211
H5521|272|10570|12115|FL|Sarasota|12697|1863207|H5521 - 272|H5521|272|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Premier Plus (PPO)|CVS Health Corporation|01/01/2006|4862|H5521 - 272
S8841|803|31100|34003|NJ|Bergen|12391|3491700|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S5884|114|5000|06001|CA|Alameda|12373|3271524|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
H2001|817|45130|48029|TX|Bexar|12354|500825|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
S5820|833|45940|48453|TX|Travis|12284|3249522|S5820 - 833|S5820|833|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INSURANCE COMPANY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7531|S5820 - 833
H2001|838|7010|09003|CT|Hartford|12086|559274|H2001 - 838|H2001|838|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1652|H2001 - 838
H0524|806|5510|06081|CA|San Mateo|12050|97926|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
S4802|231|3060|04013|AZ|Maricopa|12022|2739796|S4802 - 231|S4802|231|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Medicare Rx Value Plus (PDP)|Centene Corporation|01/01/2006|7093|S4802 - 231
S4802|163|5470|06073|CA|San Diego|11932|2731965|S4802 - 163|S4802|163|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7063|S4802 - 163
S8841|803|31270|34023|NJ|Middlesex|11699|3491710|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
H0524|806|5480|06075|CA|San Francisco|11583|97923|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
H0524|806|5590|06097|CA|Sonoma|11546|97934|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
H2001|817|45390|48113|TX|Dallas|11545|500867|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
